episode,score,epsilon
0,28,1.0
1,18,1.0
2,22,0.995
3,47,0.990025
4,23,0.985074875
5,28,0.9801495006250001
6,11,0.9752487531218751
7,29,0.9703725093562657
8,17,0.9655206468094844
9,40,0.960693043575437
10,10,0.9558895783575597
11,15,0.9511101304657719
12,30,0.946354579813443
13,10,0.9416228069143757
14,26,0.9369146928798039
15,12,0.9322301194154049
16,38,0.9275689688183278
17,60,0.9229311239742362
18,13,0.918316468354365
19,30,0.9137248860125932
20,20,0.9091562615825302
21,40,0.9046104802746175
22,15,0.9000874278732445
23,12,0.8955869907338783
24,68,0.8911090557802088
25,12,0.8866535105013078
26,36,0.8822202429488013
27,30,0.8778091417340573
28,28,0.8734200960253871
29,12,0.8690529955452602
30,44,0.8647077305675338
31,22,0.8603841919146962
32,10,0.8560822709551227
33,16,0.851801859600347
34,14,0.8475428503023453
35,30,0.8433051360508336
36,10,0.8390886103705794
37,9,0.8348931673187264
38,18,0.8307187014821328
39,33,0.8265651079747222
40,23,0.8224322824348486
41,16,0.8183201210226743
42,17,0.8142285204175609
43,18,0.810157377815473
44,30,0.8061065909263957
45,13,0.8020760579717637
46,10,0.798065677681905
47,18,0.7940753492934954
48,7,0.7901049725470279
49,27,0.7861544476842928
50,15,0.7822236754458713
51,14,0.778312557068642
52,22,0.7744209942832988
53,32,0.7705488893118823
54,27,0.7666961448653229
55,15,0.7628626641409962
56,7,0.7590483508202912
57,12,0.7552531090661897
58,12,0.7514768435208588
59,12,0.7477194593032545
60,12,0.7439808620067382
61,16,0.7402609576967045
62,53,0.736559652908221
63,59,0.7328768546436799
64,60,0.7292124703704616
65,10,0.7255664080186093
66,15,0.7219385759785162
67,64,0.7183288830986236
68,20,0.7147372386831305
69,18,0.7111635524897149
70,11,0.7076077347272662
71,47,0.7040696960536299
72,15,0.7005493475733617
73,50,0.697046600835495
74,40,0.6935613678313175
75,15,0.6900935609921609
76,16,0.6866430931872001
77,10,0.6832098777212641
78,14,0.6797938283326578
79,36,0.6763948591909945
80,19,0.6730128848950395
81,14,0.6696478204705644
82,14,0.6662995813682115
83,16,0.6629680834613705
84,53,0.6596532430440636
85,17,0.6563549768288433
86,16,0.653073201944699
87,11,0.6498078359349755
88,12,0.6465587967553006
89,10,0.6433260027715241
90,7,0.6401093727576664
91,21,0.6369088258938781
92,11,0.6337242817644086
93,39,0.6305556603555866
94,91,0.6274028820538087
95,20,0.6242658676435396
96,22,0.6211445383053219
97,22,0.6180388156137953
98,18,0.6149486215357263
99,25,0.6118738784280476
100,21,0.6088145090359074
101,18,0.6057704364907278
102,28,0.6027415843082742
103,28,0.5997278763867329
104,27,0.5967292370047992
105,34,0.5937455908197752
106,23,0.5907768628656763
107,10,0.5878229785513479
108,154,0.5848838636585911
109,71,0.5819594443402982
110,12,0.5790496471185967
111,49,0.5761543988830038
112,25,0.5732736268885887
113,23,0.5704072587541458
114,19,0.567555222460375
115,8,0.5647174463480732
116,33,0.5618938591163328
117,46,0.5590843898207511
118,54,0.5562889678716474
119,29,0.5535075230322891
120,30,0.5507399854171277
121,40,0.547986285490042
122,13,0.5452463540625918
123,25,0.5425201222922789
124,65,0.5398075216808175
125,22,0.5371084840724134
126,81,0.5344229416520513
127,53,0.531750826943791
128,39,0.5290920728090721
129,20,0.5264466124450268
130,70,0.5238143793828016
131,90,0.5211953074858876
132,33,0.5185893309484582
133,46,0.5159963842937159
134,29,0.5134164023722473
135,22,0.510849320360386
136,15,0.5082950737585841
137,55,0.5057535983897912
138,40,0.5032248303978422
139,49,0.500708706245853
140,26,0.4982051627146237
141,46,0.49571413690105054
142,31,0.4932355662165453
143,34,0.4907693883854626
144,32,0.4883155414435353
145,34,0.4858739637363176
146,16,0.483444593917636
147,22,0.4810273709480478
148,23,0.47862223409330756
149,28,0.47622912292284103
150,32,0.4738479773082268
151,22,0.47147873742168567
152,22,0.46912134373457726
153,170,0.46677573701590436
154,162,0.46444185833082485
155,70,0.46211964903917074
156,74,0.4598090507939749
157,39,0.457510005540005
158,119,0.45522245551230495
159,48,0.4529463432347434
160,54,0.4506816115185697
161,66,0.4484282034609769
162,36,0.446186062443672
163,107,0.4439551321314536
164,55,0.4417353564707963
165,39,0.43952667968844233
166,55,0.43732904629000013
167,56,0.4351424010585501
168,58,0.43296668905325736
169,148,0.43080185560799106
170,63,0.4286478463299511
171,30,0.42650460709830135
172,69,0.42437208406280985
173,61,0.4222502236424958
174,56,0.42013897252428334
175,43,0.4180382776616619
176,69,0.4159480862733536
177,49,0.41386834584198684
178,44,0.4117990041127769
179,39,0.40974000909221303
180,56,0.40769130904675194
181,172,0.40565285250151817
182,36,0.4036245882390106
183,35,0.4016064652978155
184,105,0.3995984329713264
185,68,0.3976004408064698
186,74,0.39561243860243744
187,100,0.3936343764094253
188,175,0.39166620452737816
189,31,0.3897078735047413
190,165,0.3877593341372176
191,175,0.3858205374665315
192,153,0.38389143477919885
193,63,0.3819719776053028
194,81,0.3800621177172763
195,81,0.37816180712868996
196,135,0.37627099809304654
197,67,0.3743896431025813
198,27,0.37251769488706843
199,35,0.3706551064126331
200,94,0.36880183088056995
201,57,0.3669578217261671
202,37,0.36512303261753626
203,51,0.3632974174544486
204,82,0.3614809303671764
205,288,0.3596735257153405
206,144,0.3578751580867638
207,104,0.35608578229633
208,121,0.3543053533848483
209,106,0.35253382661792404
210,104,0.3507711574848344
211,58,0.34901730169741024
212,47,0.3472722151889232
213,63,0.3455358541129786
214,74,0.3438081748424137
215,79,0.3420891339682016
216,147,0.3403786882983606
217,106,0.3386767948568688
218,38,0.33698341088258443
219,57,0.3352984938281715
220,69,0.33362200135903064
221,128,0.33195389135223546
222,34,0.3302941218954743
223,126,0.32864265128599696
224,36,0.326999438029567
225,143,0.3253644408394192
226,123,0.3237376186352221
227,125,0.322118930542046
228,54,0.32050833588933575
229,78,0.31890579420988907
230,15,0.3173112652388396
231,31,0.3157247089126454
232,39,0.3141460853680822
233,43,0.3125753549412418
234,70,0.31101247816653554
235,24,0.30945741577570285
236,43,0.3079101286968243
237,32,0.3063705780533402
238,206,0.30483872516307353
239,180,0.3033145315372582
240,23,0.3017979588795719
241,75,0.30028896908517405
242,37,0.2987875242397482
243,18,0.29729358661854943
244,158,0.29580711868545667
245,156,0.2943280830920294
246,186,0.29285644267656924
247,133,0.2913921604631864
248,184,0.28993519966087045
249,169,0.2884855236625661
250,118,0.28704309604425327
251,119,0.285607880564032
252,167,0.28417984116121187
253,137,0.2827589419554058
254,103,0.28134514724562876
255,72,0.2799384215094006
256,101,0.27853872940185365
257,97,0.27714603575484437
258,302,0.2757603055760701
259,106,0.2743815040481898
260,118,0.2730095965279488
261,172,0.27164454854530906
262,179,0.2702863258025825
263,144,0.2689348941735696
264,128,0.26759021970270175
265,130,0.2662522686041882
266,25,0.2649210072611673
267,104,0.26359640222486147
268,34,0.26227842021373715
269,94,0.2609670281126685
270,24,0.25966219297210513
271,121,0.2583638820072446
272,77,0.2570720625972084
273,229,0.25578670228422234
274,152,0.25450776877280124
275,142,0.2532352299289372
276,139,0.2519690537792925
277,134,0.2507092085103961
278,102,0.2494556624678441
279,41,0.24820838415550486
280,114,0.24696734223472733
281,106,0.2457325055235537
282,83,0.24450384299593592
283,50,0.24328132378095624
284,35,0.24206491716205145
285,58,0.2408545925762412
286,72,0.23965031961336
287,60,0.2384520680152932
288,83,0.23725980767521673
289,105,0.23607350863684065
290,281,0.23489314109365644
291,21,0.23371867538818816
292,83,0.23255008201124722
293,36,0.231387331601191
294,120,0.23023039494318503
295,140,0.2290792429684691
296,153,0.22793384675362674
297,161,0.22679417751985861
298,152,0.22566020663225933
299,79,0.22453190559909803
300,87,0.22340924607110255
301,99,0.22229219984074702
302,172,0.2211807388415433
303,179,0.22007483514733558
304,106,0.2189744609715989
305,207,0.2178795886667409
306,77,0.2167901907234072
307,97,0.21570623976979014
308,219,0.21462770857094118
309,298,0.21355457002808648
310,293,0.21248679717794605
311,103,0.21142436319205632
312,265,0.21036724137609603
313,126,0.20931540516921554
314,478,0.20826882814336947
315,138,0.20722748400265262
316,152,0.20619134658263935
317,183,0.20516038984972615
318,212,0.2041345879004775
319,340,0.2031139149609751
320,139,0.20209834538617025
321,200,0.2010878536592394
322,411,0.2000824143909432
323,364,0.19908200231898848
324,173,0.19808659230739353
325,499,0.19709615934585656
326,347,0.19611067854912728
327,44,0.19513012515638165
328,118,0.19415447453059972
329,499,0.19318370215794672
330,347,0.192217783647157
331,265,0.1912566947289212
332,399,0.1903004112552766
333,252,0.18934890919900021
334,180,0.18840216465300522
335,305,0.18746015382974018
336,309,0.1865228530605915
337,122,0.18559023879528855
338,336,0.1846622876013121
339,381,0.18373897616330553
340,121,0.182820281282489
341,455,0.18190617987607657
342,121,0.18099664897669618
343,155,0.1800916657318127
344,116,0.17919120740315364
345,119,0.17829525136613786
346,145,0.17740377510930716
347,34,0.17651675623376062
348,128,0.1756341724525918
349,147,0.17475600159032884
350,146,0.17388222158237718
351,173,0.1730128104744653
352,204,0.17214774642209296
353,193,0.1712870076899825
354,225,0.17043057265153258
355,214,0.16957841978827493
356,199,0.16873052768933355
357,232,0.1678868750508869
358,173,0.16704744067563246
359,116,0.1662122034722543
360,152,0.16538114245489302
361,198,0.16455423674261854
362,160,0.16373146555890544
363,160,0.16291280823111093
364,209,0.16209824418995536
365,208,0.16128775296900558
366,216,0.16048131420416054
367,273,0.15967890763313974
368,185,0.15888051309497406
369,185,0.1580861105294992
370,46,0.1572956799768517
371,172,0.15650920157696743
372,212,0.1557266555690826
373,158,0.1549480222912372
374,191,0.15417328217978102
375,148,0.1534024157688821
376,141,0.1526354036900377
377,134,0.1518722266715875
378,130,0.15111286553822956
379,128,0.15035730121053842
380,168,0.14960551470448571
381,413,0.14885748713096328
382,198,0.14811319969530845
383,155,0.1473726336968319
384,151,0.14663577052834775
385,211,0.14590259167570602
386,136,0.1451730787173275
387,183,0.14444721332374086
388,174,0.14372497725712216
389,150,0.14300635237083656
390,116,0.14229132060898236
391,499,0.14157986400593744
392,232,0.14087196468590776
393,182,0.14016760486247823
394,177,0.13946676683816583
395,178,0.138769433003975
396,151,0.13807558583895513
397,197,0.13738520790976036
398,202,0.13669828187021155
399,153,0.13601479046086049
400,119,0.1353347165085562
401,166,0.1346580429260134
402,82,0.13398475271138335
403,299,0.13331482894782642
404,208,0.13264825480308728
405,219,0.13198501352907185
406,234,0.1313250884614265
407,253,0.13066846301911936
408,223,0.13001512070402377
409,301,0.12936504510050365
410,249,0.12871821987500112
411,385,0.12807462877562611
412,308,0.12743425563174798
413,284,0.12679708435358925
414,317,0.1261630989318213
415,280,0.1255322834371622
416,253,0.12490462201997637
417,250,0.1242800989098765
418,247,0.12365869841532712
419,101,0.12304040492325048
420,499,0.12242520289863423
421,289,0.12181307688414106
422,207,0.12120401149972035
423,205,0.12059799144222175
424,225,0.11999500148501063
425,246,0.11939502647758558
426,225,0.11879805134519765
427,226,0.11820406108847166
428,252,0.1176130407830293
429,211,0.11702497557911415
430,238,0.11643985070121858
431,233,0.11585765144771248
432,281,0.11527836319047392
433,242,0.11470197137452155
434,241,0.11412846151764894
435,260,0.1135578192100607
436,230,0.11299003011401039
437,209,0.11242507996344034
438,304,0.11186295456362313
439,275,0.11130363979080501
440,315,0.11074712159185099
441,287,0.11019338598389174
442,287,0.10964241905397228
443,429,0.10909420695870241
444,409,0.1085487359239089
445,52,0.10800599224428936
446,499,0.10746596228306791
447,499,0.10692863247165257
448,499,0.1063939893092943
449,499,0.10586201936274783
450,499,0.10533270926593409
451,499,0.10480604571960442
452,74,0.1042820154910064
453,499,0.10376060541355137
454,157,0.1032418023864836
455,207,0.10272559337455119
456,499,0.10221196540767843
457,499,0.10170090558064004
458,499,0.10119240105273684
459,499,0.10068643904747315
460,499,0.10018300685223579
461,499,0.0996820918179746
462,499,0.09918368135888474
463,499,0.09868776295209031
464,499,0.09819432413732986
465,499,0.09770335251664321
466,169,0.09721483575406
467,233,0.09672876157528969
468,276,0.09624511776741324
469,283,0.09576389217857617
470,352,0.09528507271768329
471,270,0.09480864735409487
472,263,0.0943346041173244
473,262,0.09386293109673778
474,299,0.09339361644125409
475,272,0.09292664835904782
476,262,0.09246201511725258
477,306,0.09199970504166631
478,323,0.09153970651645797
479,236,0.09108200798387568
480,280,0.0906265979439563
481,311,0.09017346495423652
482,252,0.08972259762946533
483,229,0.089273984641318
484,274,0.0888276147181114
485,275,0.08838347664452084
486,233,0.08794155926129824
487,280,0.08750185146499175
488,238,0.08706434220766679
489,160,0.08662902049662846
490,236,0.08619587539414532
491,335,0.08576489601717459
492,279,0.08533607153708872
493,320,0.08490939117940327
494,354,0.08448484422350626
495,297,0.08406242000238873
496,318,0.08364210790237678
497,277,0.0832238973628649
498,343,0.08280777787605056
499,375,0.08239373898667031
500,239,0.08198177029173696
501,304,0.08157186144027828
502,273,0.0811640021330769
503,296,0.08075818212241151
504,287,0.08035439121179945
505,284,0.07995261925574046
506,320,0.07955285615946175
507,329,0.07915509187866444
508,312,0.07875931641927113
509,288,0.07836551983717477
510,262,0.07797369223798889
511,321,0.07758382377679894
512,315,0.07719590465791494
513,292,0.07680992513462537
514,296,0.07642587550895225
515,325,0.07604374613140748
516,312,0.07566352740075044
517,279,0.07528520976374668
518,346,0.07490878371492794
519,266,0.0745342397963533
520,384,0.07416156859737154
521,339,0.07379076075438468
522,265,0.07342180695061275
523,354,0.07305469791585968
524,360,0.07268942442628039
525,340,0.07232597730414898
526,293,0.07196434741762824
527,360,0.0716045256805401
528,303,0.0712465030521374
529,390,0.0708902705368767
530,349,0.07053581918419231
531,339,0.07018314008827135
532,113,0.06983222438783
533,94,0.06948306326589085
534,82,0.0691356479495614
535,111,0.06878996970981359
536,194,0.06844601986126451
537,125,0.06810378976195819
538,499,0.0677632708131484
539,27,0.06742445445908266
540,89,0.06708733218678724
541,227,0.0667518955258533
542,79,0.06641813604822402
543,499,0.0660860453679829
544,148,0.06575561514114299
545,107,0.06542683706543727
546,115,0.06509970288011008
547,83,0.06477420436570952
548,210,0.06445033334388098
549,89,0.06412808167716157
550,117,0.06380744126877576
551,97,0.06348840406243188
552,499,0.06317096204211972
553,205,0.06285510723190912
554,25,0.06254083169574957
555,189,0.062228127537270826
556,86,0.06191698689958447
557,499,0.061607401965086545
558,90,0.06129936495526111
559,338,0.0609928681304848
560,499,0.060687903789832374
561,110,0.06038446427088321
562,112,0.06008254194952879
563,21,0.05978212923978115
564,33,0.05948321859358224
565,82,0.05918580250061433
566,79,0.058889873488111255
567,298,0.058595424120670696
568,499,0.05830244700006734
569,82,0.058010934765067
570,21,0.05772088009124167
571,58,0.05743227569078546
572,99,0.05714511431233153
573,78,0.05685938874076987
574,119,0.056575091797066025
575,79,0.056292216338080694
576,98,0.05601075525639029
