episode,epsilon,score,average_score,total_reward,average_reward,Q_table_length
108,0.8976275964304349,20,17.81651376146789,10.0,7.908256880733945,2158
109,0.8967304174982355,39,18.009090909090908,29.0,8.1,2199
110,0.8958341352965282,35,18.16216216216216,25.0,8.252252252252251,2236
111,0.894938748929031,22,18.196428571428573,12.0,8.285714285714286,2260
112,0.8940442575003572,19,18.20353982300885,9.0,8.29203539823009,2281
113,0.8931506601160155,30,18.30701754385965,20.0,8.394736842105264,2313
114,0.8922579558824083,12,18.252173913043478,2.0,8.339130434782609,2327
115,0.8913661439068313,23,18.29310344827586,13.0,8.379310344827585,2352
116,0.8904752232974726,24,18.34188034188034,14.0,8.427350427350428,2378
117,0.8895851931634113,23,18.38135593220339,13.0,8.466101694915254,2403
118,0.8886960526146174,19,18.386554621848738,9.0,8.470588235294118,2424
119,0.8878078007619501,20,18.4,10.0,8.483333333333333,2446
120,0.8869204367171575,12,18.34710743801653,2.0,8.429752066115702,2460
121,0.8860339595928756,48,18.59016393442623,38.0,8.672131147540984,2510
122,0.8851483685026271,11,18.528455284552845,1.0,8.609756097560975,2523
123,0.8842636625608209,13,18.483870967741936,3.0,8.564516129032258,2538
124,0.8833798408827509,14,18.448,4.0,8.528,2554
125,0.8824969025845955,59,18.76984126984127,49.0,8.84920634920635,2615
126,0.8816148467834161,17,18.755905511811022,7.0,8.834645669291339,2634
127,0.880733672597157,12,18.703125,2.0,8.78125,2648
128,0.8798533791446438,28,18.775193798449614,18.0,8.852713178294573,2678
129,0.8789739655455832,34,18.892307692307693,24.0,8.96923076923077,2714
130,0.8780954309205613,53,19.15267175572519,43.0,9.229007633587786,2769
131,0.8772177743910435,11,19.09090909090909,1.0,9.166666666666666,2782
132,0.8763409950793732,45,19.285714285714285,35.0,9.360902255639099,2829
133,0.8754650921087711,14,19.246268656716417,4.0,9.32089552238806,2845
134,0.874590064603334,21,19.25925925925926,11.0,9.333333333333334,2868
135,0.8737159116880344,20,19.264705882352942,10.0,9.338235294117647,2890
136,0.8728426324887193,14,19.226277372262775,4.0,9.299270072992702,2906
137,0.8719702261321094,19,19.22463768115942,9.0,9.297101449275363,2927
138,0.8710986917457983,16,19.201438848920862,6.0,9.273381294964029,2945
