episode,epsilon,score,average_score,total_reward,average_reward
97,0.6149486215357263,0.22596,-0.31479,-209.0,-209.0
98,0.6118738784280476,-0.4516,-0.31618,-209.0,-209.0
99,0.6088145090359074,-0.35175,-0.31653,-209.0,-209.0
100,0.6057704364907278,-0.31782,-0.31655,-209.0,-209.0
101,0.6027415843082742,-0.17163,-0.31512,-209.0,-209.0
102,0.5997278763867329,-0.26761,-0.31466,-209.0,-209.0
103,0.5967292370047992,-0.43824,-0.31585,-209.0,-209.0
104,0.5937455908197752,-0.31092,-0.3158,-209.0,-209.0
105,0.5907768628656763,-0.46773,-0.31724,-209.0,-209.0
106,0.5878229785513479,0.15474,-0.31283,-209.0,-209.0
107,0.5848838636585911,-0.03841,-0.31029,-209.0,-209.0
108,0.5819594443402982,0.25796,-0.30507,-209.0,-209.0
109,0.5790496471185967,-0.50294,-0.30687,-209.0,-209.0
110,0.5761543988830038,-0.50775,-0.30868,-209.0,-209.0
111,0.5732736268885887,-0.41186,-0.3096,-209.0,-209.0
112,0.5704072587541458,0.15988,-0.30545,-209.0,-209.0
113,0.567555222460375,0.3473,-0.29972,-209.0,-209.0
114,0.5647174463480732,0.38484,-0.29377,-209.0,-209.0
115,0.5618938591163328,-0.48311,-0.2954,-209.0,-209.0
116,0.5590843898207511,0.03777,-0.29255,-209.0,-209.0
117,0.5562889678716474,0.43839,-0.28636,-209.0,-209.0
118,0.5535075230322891,0.08341,-0.28325,-209.0,-209.0
119,0.5507399854171277,-0.03487,-0.28118,-209.0,-209.0
120,0.547986285490042,-0.00843,-0.27893,-209.0,-209.0
121,0.5452463540625918,0.05453,-0.27619,-209.0,-209.0
122,0.5425201222922789,0.09192,-0.2732,-209.0,-209.0
123,0.5398075216808175,0.50873,-0.2669,-186.0,-208.81451612903226
124,0.5371084840724134,0.00577,-0.26471,-209.0,-208.816
125,0.5344229416520513,-0.46726,-0.26632,-209.0,-208.81746031746033
126,0.531750826943791,-0.496,-0.26813,-209.0,-208.8188976377953
127,0.5290920728090721,-0.06439,-0.26654,-209.0,-208.8203125
128,0.5264466124450268,-0.30984,-0.26687,-209.0,-208.8217054263566
129,0.5238143793828016,0.5096,-0.2609,-191.0,-208.6846153846154
130,0.5211953074858876,-0.35818,-0.26164,-209.0,-208.68702290076337
131,0.5185893309484582,0.49238,-0.25593,-209.0,-208.68939393939394
132,0.5159963842937159,0.51663,-0.25012,-200.0,-208.62406015037595
133,0.5134164023722473,0.15867,-0.24707,-209.0,-208.62686567164178
134,0.510849320360386,-0.30811,-0.24752,-209.0,-208.62962962962962
135,0.5082950737585841,0.127,-0.24477,-209.0,-208.63235294117646
136,0.5057535983897912,-0.18208,-0.24431,-209.0,-208.63503649635035
137,0.5032248303978422,-0.05856,-0.24297,-209.0,-208.63768115942028
138,0.500708706245853,0.19809,-0.23979,-209.0,-208.64028776978418
139,0.4982051627146237,0.46866,-0.23473,-209.0,-208.64285714285714
140,0.49571413690105054,-0.40698,-0.23596,-209.0,-208.645390070922
141,0.4932355662165453,0.51999,-0.23063,-199.0,-208.57746478873239
142,0.4907693883854626,0.50821,-0.22546,-169.0,-208.3006993006993
143,0.4883155414435353,0.2019,-0.2225,-209.0,-208.30555555555554
144,0.4858739637363176,0.11714,-0.22015,-209.0,-208.31034482758622
145,0.483444593917636,0.22978,-0.21707,-209.0,-208.31506849315068
146,0.4810273709480478,0.30403,-0.21353,-209.0,-208.31972789115648
147,0.47862223409330756,-0.0619,-0.2125,-209.0,-208.32432432432432
148,0.47622912292284103,-0.47948,-0.2143,-209.0,-208.3288590604027
149,0.4738479773082268,0.22372,-0.21138,-209.0,-208.33333333333334
150,0.47147873742168567,0.18241,-0.20877,-209.0,-208.33774834437085
151,0.46912134373457726,0.24929,-0.20575,-209.0,-208.3421052631579
152,0.46677573701590436,-0.52731,-0.20786,-209.0,-208.34640522875816
153,0.46444185833082485,0.50911,-0.2032,-170.0,-208.0974025974026
154,0.46211964903917074,0.51546,-0.19856,-207.0,-208.09032258064516
155,0.4598090507939749,0.51141,-0.19401,-198.0,-208.02564102564102
156,0.457510005540005,0.21028,-0.19144,-209.0,-208.03184713375796
157,0.45522245551230495,-0.08847,-0.19079,-209.0,-208.0379746835443
158,0.4529463432347434,0.51128,-0.18637,-199.0,-207.9811320754717
159,0.4506816115185697,0.36618,-0.18292,-209.0,-207.9875
160,0.4484282034609769,-0.19876,-0.18301,-209.0,-207.9937888198758
161,0.446186062443672,-0.35644,-0.18409,-209.0,-208.0
162,0.4439551321314536,-0.36505,-0.1852,-209.0,-208.00613496932516
163,0.4417353564707963,0.37387,-0.18179,-209.0,-208.0121951219512
164,0.43952667968844233,0.50176,-0.17764,-201.0,-207.96969696969697
165,0.43732904629000013,0.30355,-0.17475,-209.0,-207.97590361445782
166,0.4351424010585501,-0.45057,-0.1764,-209.0,-207.98203592814372
167,0.43296668905325736,-0.39585,-0.1777,-209.0,-207.98809523809524
168,0.43080185560799106,0.31382,-0.17479,-209.0,-207.9940828402367
169,0.4286478463299511,0.27287,-0.17216,-209.0,-208.0
170,0.42650460709830135,0.19121,-0.17004,-209.0,-208.00584795321637
171,0.42437208406280985,0.51843,-0.16603,-191.0,-207.90697674418604
172,0.4222502236424958,0.5084,-0.16214,-193.0,-207.82080924855492
173,0.42013897252428334,-0.27026,-0.16276,-209.0,-207.82758620689654
174,0.4180382776616619,0.50227,-0.15896,-167.0,-207.59428571428572
175,0.4159480862733536,0.35724,-0.15602,-209.0,-207.60227272727272
176,0.41386834584198684,0.3676,-0.15307,-209.0,-207.61016949152543
177,0.4117990041127769,0.50291,-0.14938,-174.0,-207.42134831460675
178,0.40974000909221303,0.53087,-0.14558,-179.0,-207.26256983240222
179,0.40769130904675194,0.39681,-0.14257,-209.0,-207.2722222222222
180,0.40565285250151817,0.32973,-0.13996,-209.0,-207.28176795580112
181,0.4036245882390106,-0.34942,-0.14111,-209.0,-207.2912087912088
182,0.4016064652978155,0.42805,-0.138,-209.0,-207.30054644808743
183,0.3995984329713264,0.12546,-0.13657,-209.0,-207.30978260869566
184,0.3976004408064698,0.06103,-0.1355,-209.0,-207.3189189189189
185,0.39561243860243744,0.51229,-0.13202,-184.0,-207.19354838709677
186,0.3936343764094253,0.50745,-0.1286,-173.0,-207.01069518716577
187,0.39166620452737816,-0.5453,-0.13081,-209.0,-207.0212765957447
188,0.3897078735047413,-0.34719,-0.13196,-209.0,-207.03174603174602
189,0.3877593341372176,0.51557,-0.12855,-163.0,-206.8
190,0.3858205374665315,-0.4768,-0.13037,-209.0,-206.81151832460733
191,0.38389143477919885,0.50013,-0.12709,-182.0,-206.68229166666666
192,0.3819719776053028,-0.53364,-0.12919,-209.0,-206.69430051813472
193,0.3800621177172763,0.5048,-0.12593,-163.0,-206.46907216494844
194,0.37816180712868996,0.24581,-0.12402,-209.0,-206.4820512820513
195,0.37627099809304654,-0.02947,-0.12354,-209.0,-206.49489795918367
196,0.3743896431025813,-0.31967,-0.12453,-209.0,-206.50761421319797
197,0.37251769488706843,0.51274,-0.12132,-162.0,-206.2828282828283
198,0.3706551064126331,0.51366,-0.11812,-185.0,-206.17587939698493
199,0.36880183088056995,0.50337,-0.11502,-136.0,-205.825
200,0.3669578217261671,0.51844,-0.11187,-203.0,-205.81094527363183
201,0.36512303261753626,0.38507,-0.10941,-209.0,-205.82673267326732
202,0.3632974174544486,0.47483,-0.10653,-209.0,-205.8423645320197
203,0.3614809303671764,0.52074,-0.10345,-167.0,-205.65196078431373
204,0.3596735257153405,0.51,-0.10046,-179.0,-205.5219512195122
205,0.3578751580867638,0.29515,-0.09854,-209.0,-205.53883495145632
206,0.35608578229633,-0.18564,-0.09896,-209.0,-205.55555555555554
207,0.3543053533848483,-0.38121,-0.10032,-209.0,-205.5721153846154
208,0.35253382661792404,0.51068,-0.09739,-168.0,-205.39234449760767
209,0.3507711574848344,-0.27946,-0.09826,-209.0,-205.40952380952382
210,0.34901730169741024,0.51247,-0.09537,-141.0,-205.1042654028436
211,0.3472722151889232,0.51795,-0.09247,-178.0,-204.97641509433961
212,0.3455358541129786,0.5336,-0.08953,-167.0,-204.7981220657277
213,0.3438081748424137,0.51411,-0.08671,-174.0,-204.65420560747663
214,0.3420891339682016,0.50239,-0.08397,-169.0,-204.48837209302326
215,0.3403786882983606,0.5094,-0.08123,-133.0,-204.15740740740742
216,0.3386767948568688,0.51952,-0.07846,-166.0,-203.9815668202765
217,0.33698341088258443,0.52721,-0.07568,-206.0,-203.9908256880734
218,0.3352984938281715,0.51131,-0.073,-147.0,-203.73059360730593
219,0.33362200135903064,0.5067,-0.07036,-181.0,-203.62727272727273
220,0.33195389135223546,0.50189,-0.06777,-148.0,-203.37556561085972
221,0.3302941218954743,0.52877,-0.06509,-165.0,-203.2027027027027
222,0.32864265128599696,0.4395,-0.06282,-209.0,-203.22869955156952
223,0.326999438029567,0.52281,-0.06021,-175.0,-203.10267857142858
224,0.3253644408394192,0.52139,-0.05763,-164.0,-202.92888888888888
225,0.3237376186352221,0.51392,-0.0551,-163.0,-202.75221238938053
226,0.322118930542046,0.51976,-0.05256,-168.0,-202.59911894273128
227,0.32050833588933575,0.52836,-0.05002,-172.0,-202.46491228070175
228,0.31890579420988907,-0.0769,-0.05013,-209.0,-202.4934497816594
229,0.3173112652388396,0.04684,-0.04971,-209.0,-202.52173913043478
230,0.3157247089126454,0.51092,-0.04728,-137.0,-202.23809523809524
231,0.3141460853680822,0.01941,-0.047,-209.0,-202.26724137931035
232,0.3125753549412418,-0.2602,-0.04791,-209.0,-202.2961373390558
233,0.31101247816653554,0.50435,-0.04555,-177.0,-202.18803418803418
234,0.30945741577570285,0.53517,-0.04308,-165.0,-202.02978723404254
235,0.3079101286968243,-0.54765,-0.04522,-209.0,-202.0593220338983
236,0.3063705780533402,0.51446,-0.04286,-171.0,-201.9282700421941
237,0.30483872516307353,0.43304,-0.04086,-209.0,-201.9579831932773
238,0.3033145315372582,0.5258,-0.03849,-195.0,-201.92887029288704
239,0.3017979588795719,0.50563,-0.03622,-138.0,-201.6625
240,0.30028896908517405,0.51334,-0.03394,-163.0,-201.50207468879668
241,0.2987875242397482,0.52883,-0.03161,-208.0,-201.52892561983472
242,0.29729358661854943,-0.32907,-0.03284,-209.0,-201.559670781893
243,0.29580711868545667,0.51442,-0.0306,-167.0,-201.41803278688525
244,0.2943280830920294,-0.48057,-0.03243,-209.0,-201.44897959183675
245,0.29285644267656924,0.51679,-0.0302,-204.0,-201.45934959349594
246,0.2913921604631864,0.53708,-0.0279,-198.0,-201.44534412955466
