episode,epsilon,score,average_score,total_reward,average_reward,Q_table_length
80,0.9231163463866358,-0.42347244658255134,-0.37415667811214603,-209.0,-206.41975308641975,16079
81,0.922193691444608,-0.37531792377959594,-0.3741708396446759,-209.0,-206.4512195121951,16280
82,0.9212719586963487,-0.4622657406776896,-0.37523222399447126,-209.0,-206.48192771084337,16481
83,0.9203511472201247,-0.47317715759584983,-0.3763982351087734,-209.0,-206.51190476190476,16682
84,0.9194312560951247,-0.2211534022701825,-0.37457182531067235,-209.0,-206.54117647058823,16883
85,0.9185122844014574,-0.35234110439838573,-0.37431332855587834,-209.0,-206.56976744186048,17084
86,0.9175942312201509,-0.41495840111473437,-0.3747805132979341,-209.0,-206.5977011494253,17284
87,0.9166770956331523,-0.3504612708984135,-0.3745041582706668,-209.0,-206.625,17485
88,0.9157608767233256,-0.4224581066609112,-0.375042966679546,-209.0,-206.65168539325842,17686
89,0.914845573574452,-0.31841031119518826,-0.374413714951942,-209.0,-206.67777777777778,17887
90,0.9139311852712282,-0.37904114735424466,-0.3744645658574618,-209.0,-206.7032967032967,18088
91,0.9130177108992658,-0.2894008191907613,-0.37353995991543243,-209.0,-206.72826086956522,18289
92,0.9121051495450904,-0.35567932153648996,-0.37334791004039003,-209.0,-206.752688172043,18490
93,0.9111935002961405,-0.4302153983069329,-0.3739528833198214,-209.0,-206.77659574468086,18691
94,0.910282762240767,-0.4733951478693657,-0.3749996439992903,-209.0,-206.8,18892
95,0.9093729344682314,-0.4037600344566182,-0.37529923139988747,-209.0,-206.82291666666666,19093
96,0.9084640160687062,-0.3408751582068522,-0.3749443440473819,-209.0,-206.84536082474227,19294
97,0.9075560061332727,-0.38430640067588007,-0.3750398752374686,-209.0,-206.8673469387755,19495
98,0.9066489037539209,-0.3714725310537851,-0.37500384145783544,-209.0,-206.88888888888889,19696
99,0.9057427080235485,-0.1486462028930539,-0.37274026507218766,-209.0,-206.91,19897
100,0.9048374180359595,-0.41495442225352086,-0.3731582270244781,-209.0,-206.93069306930693,20098
101,0.9039330328858641,-0.44563289301404446,-0.37386876296555227,-209.0,-206.95098039215685,20299
102,0.9030295516688768,-0.4458128366007903,-0.3745672491173506,-209.0,-206.97087378640776,20500
103,0.9021269734815165,-0.4039626127413797,-0.37484989684450476,-209.0,-206.9903846153846,20701
104,0.9012252974212047,-0.4296269869756289,-0.37537158341718213,-209.0,-207.0095238095238,20902
105,0.9003245225862656,-0.42569364314605146,-0.37584631982971867,-209.0,-207.02830188679246,21103
