episode,epsilon,score,average_score,total_reward,average_reward
0,1.0,-0.38021611565355273,-0.38021611565355273,-209.0,-209.0
1,0.995,-0.43124323746470977,-0.4057296765591313,-209.0,-209.0
2,0.990025,-0.32045578276453357,-0.3773050452942654,-209.0,-209.0
3,0.985074875,-0.3562562290017317,-0.37204284122113196,-209.0,-209.0
4,0.9801495006250001,-0.3519262454121839,-0.36801952205934235,-209.0,-209.0
5,0.9752487531218751,-0.46971274530510154,-0.38496839260030224,-209.0,-209.0
6,0.9703725093562657,-0.4292983086180255,-0.3913012377456913,-209.0,-209.0
7,0.9655206468094844,-0.41396448576640166,-0.3941341437482801,-209.0,-209.0
8,0.960693043575437,-0.44351225711208186,-0.39962060078870254,-209.0,-209.0
9,0.9558895783575597,-0.39701459691835356,-0.39936000040166764,-209.0,-209.0
10,0.9511101304657719,-0.38601468066364597,-0.39814678951639293,-209.0,-209.0
11,0.946354579813443,-0.32152875423751287,-0.39176195324315294,-209.0,-209.0
12,0.9416228069143757,-0.45993250108231376,-0.397005841538473,-209.0,-209.0
13,0.9369146928798039,-0.41178537575220514,-0.3980615225537396,-209.0,-209.0
14,0.9322301194154049,-0.28392052143398266,-0.3904521224790891,-209.0,-209.0
15,0.9275689688183278,-0.3292124730830206,-0.38662464439183486,-209.0,-209.0
16,0.9229311239742362,-0.4582515505913407,-0.3908379918153352,-209.0,-209.0
17,0.918316468354365,-0.408750991851222,-0.3918331584839956,-209.0,-209.0
18,0.9137248860125932,-0.34334018230512925,-0.3892808965798447,-209.0,-209.0
19,0.9091562615825302,-0.43405006621264847,-0.39151935506148494,-209.0,-209.0
20,0.9046104802746175,-0.26765006705470457,-0.3856208175373525,-209.0,-209.0
21,0.9000874278732445,-0.30987728279766424,-0.3821779295946394,-209.0,-209.0
22,0.8955869907338783,-0.4029852785299297,-0.383082596939652,-209.0,-209.0
23,0.8911090557802088,-0.2624423236406538,-0.3780559188855271,-209.0,-209.0
24,0.8866535105013078,-0.32089309432807944,-0.3757694059032292,-209.0,-209.0
25,0.8822202429488013,-0.1968148828923783,-0.3688865396335811,-209.0,-209.0
26,0.8778091417340573,-0.28064384566891826,-0.36561829170896387,-209.0,-209.0
27,0.8734200960253871,-0.4282377530509747,-0.36785470104260715,-209.0,-209.0
28,0.8690529955452602,-0.4053794499790066,-0.369148657902483,-209.0,-209.0
29,0.8647077305675338,-0.47983419086949014,-0.3728381756680499,-209.0,-209.0
30,0.8603841919146962,-0.35534294656094156,-0.37227381343878835,-209.0,-209.0
31,0.8560822709551227,-0.4024593590870966,-0.373217111740298,-209.0,-209.0
32,0.851801859600347,-0.38478743317385705,-0.3735677275413149,-209.0,-209.0
33,0.8475428503023453,-0.4216139292643679,-0.3749808511214047,-209.0,-209.0
34,0.8433051360508336,-0.41155020185097296,-0.3760256897136781,-209.0,-209.0
35,0.8390886103705794,-0.3202901022825528,-0.37447747895170236,-209.0,-209.0
36,0.8348931673187264,-0.35412463336242694,-0.3739274020438841,-209.0,-209.0
37,0.8307187014821328,-0.33886470616778563,-0.3730046995208289,-209.0,-209.0
38,0.8265651079747222,-0.4058031397767648,-0.373845685168417,-209.0,-209.0
39,0.8224322824348486,-0.4205182713341176,-0.3750124998225595,-209.0,-209.0
40,0.8183201210226743,-0.4636390593938182,-0.37717412322673655,-209.0,-209.0
41,0.8142285204175609,-0.38671673956476155,-0.3774013283776419,-209.0,-209.0
42,0.810157377815473,-0.46821560717731914,-0.3795132883497274,-209.0,-209.0
43,0.8061065909263957,-0.515579486035899,-0.38260570193350407,-209.0,-209.0
44,0.8020760579717637,-0.45013620904016727,-0.3841063798692077,-209.0,-209.0
45,0.798065677681905,-0.4174665795236871,-0.3848316016008268,-209.0,-209.0
46,0.7940753492934954,-0.33603954786952817,-0.3837934727980332,-209.0,-209.0
47,0.7901049725470279,-0.41524264460503874,-0.38444866387734583,-209.0,-209.0
48,0.7861544476842928,-0.3908273968935161,-0.38457884210216564,-209.0,-209.0
49,0.7822236754458713,-0.3519745465227366,-0.38392675619057703,-209.0,-209.0
50,0.778312557068642,-0.35693037864162236,-0.38339741545432304,-209.0,-209.0
51,0.7744209942832988,-0.42429522128568875,-0.38418391172031086,-209.0,-209.0
52,0.7705488893118823,-0.18727757394786668,-0.38046869780007603,-209.0,-209.0
53,0.7666961448653229,-0.38778277208219886,-0.38060414362011535,-209.0,-209.0
54,0.7628626641409962,-0.4361246344714377,-0.3816136070901394,-209.0,-209.0
55,0.7590483508202912,-0.3473637206118652,-0.38100200197445594,-209.0,-209.0
56,0.7552531090661897,-0.48592380266425567,-0.38284273531989105,-209.0,-209.0
57,0.7514768435208588,-0.3239015025867893,-0.3818265071693203,-209.0,-209.0
58,0.7477194593032545,-0.46792676431431723,-0.38328583356160845,-209.0,-209.0
59,0.7439808620067382,-0.43977099645506557,-0.38422725294316606,-209.0,-209.0
60,0.7402609576967045,-0.4739204527474647,-0.3856976332678267,-209.0,-209.0
61,0.736559652908221,-0.39719899603951353,-0.3858831391189829,-209.0,-209.0
62,0.7328768546436799,-0.3954660762098829,-0.38603524923153687,-209.0,-209.0
63,0.7292124703704616,-0.3451291156940423,-0.38539609089501353,-209.0,-209.0
64,0.7255664080186093,-0.40298129116985576,-0.3856666324377034,-209.0,-209.0
65,0.7219385759785162,-0.40578831567478013,-0.385971506426144,-209.0,-209.0
66,0.7183288830986236,-0.47591146658441735,-0.3873138938911928,-209.0,-209.0
67,0.7147372386831305,-0.5042350528626532,-0.3890333226995967,-209.0,-209.0
68,0.7111635524897149,-0.3580094739559935,-0.3885837017033125,-209.0,-209.0
69,0.7076077347272662,-0.4440460315922661,-0.3893760207017261,-209.0,-209.0
70,0.7040696960536299,-0.518924365936216,-0.3912006452824936,-209.0,-209.0
71,0.7005493475733617,-0.22617360507455445,-0.3889086030573833,-209.0,-209.0
72,0.697046600835495,-0.3963671356763318,-0.38901077473709494,-209.0,-209.0
73,0.6935613678313175,-0.3852204617723717,-0.38895955429162565,-209.0,-209.0
74,0.6900935609921609,-0.31585737659087115,-0.38798485858894893,-209.0,-209.0
75,0.6866430931872001,-0.4295633676964331,-0.3885319442351,-209.0,-209.0
76,0.6832098777212641,-0.3222633796428311,-0.3876713135261095,-209.0,-209.0
77,0.6797938283326578,-0.4406636956784142,-0.38835070304088265,-209.0,-209.0
78,0.6763948591909945,-0.4402152779613643,-0.389007216647471,-209.0,-209.0
79,0.6730128848950395,-0.38086484519733205,-0.38890543700434427,-209.0,-209.0
80,0.6696478204705644,-0.40941631461421835,-0.3891586577155773,-209.0,-209.0
81,0.6662995813682115,-0.3467470867056811,-0.3886414434349688,-209.0,-209.0
82,0.6629680834613705,-0.2961238949174449,-0.38752677417572157,-209.0,-209.0
83,0.6596532430440636,-0.4713049287370636,-0.38852413315859463,-209.0,-209.0
84,0.6563549768288433,-0.48141267351721184,-0.3896169395157549,-209.0,-209.0
85,0.653073201944699,-0.4339499211641481,-0.3901324393023641,-209.0,-209.0
86,0.6498078359349755,-0.4605710230630658,-0.3909420781961653,-209.0,-209.0
87,0.6465587967553006,-0.405831685379668,-0.39111127827779596,-209.0,-209.0
88,0.6433260027715241,-0.36377176710060577,-0.39080409275895117,-209.0,-209.0
89,0.6401093727576664,-0.38305440241060634,-0.39071798508841404,-209.0,-209.0
90,0.6369088258938781,-0.3796236084195117,-0.3905960688612833,-209.0,-209.0
91,0.6337242817644086,-0.5110006695811281,-0.3919048145212816,-209.0,-209.0
92,0.6305556603555866,-0.41474081822334896,-0.39215036294818556,-209.0,-209.0
93,0.6274028820538087,-0.44067277657777953,-0.39266655883786206,-209.0,-209.0
94,0.6242658676435396,-0.3996442228737597,-0.3927400079329768,-209.0,-209.0
95,0.6211445383053219,-0.44040363669805194,-0.3932365040659463,-209.0,-209.0
96,0.6180388156137953,-0.3763298485368917,-0.39306220864812097,-209.0,-209.0
97,0.6149486215357263,-0.512742923430961,-0.3942834404316194,-209.0,-209.0
98,0.6118738784280476,-0.39850225500788705,-0.3943260547202685,-209.0,-209.0
99,0.6088145090359074,-0.47920013230936476,-0.39517479549615947,-209.0,-209.0
100,0.6057704364907278,-0.1872729499056091,-0.3931163613814016,-209.0,-209.0
